"","prediction.score.Ext_L23","prediction.score.Oligo_2","prediction.score.Astro_THAL_med","prediction.score.Inh_Sst","prediction.score.Inh_6","prediction.score.Inh_Meis2_3","prediction.score.Micro","prediction.score.Ext_L5_2","prediction.score.Ext_Pir","prediction.score.Astro_AMY","prediction.score.Inh_2","prediction.score.Inh_1","prediction.score.Inh_Pvalb","prediction.score.Inh_Lamp5","prediction.score.Ext_L25","prediction.score.Nb_2","prediction.score.Ext_Thal_1","prediction.score.Ext_L56","prediction.score.Ext_Unk_3","prediction.score.Inh_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Thal_2","prediction.score.Ext_L5_1","prediction.score.Unk_1","prediction.score.OPC_1","prediction.score.Astro_AMY_CTX","prediction.score.Ext_Hpc_DG1","prediction.score.Astro_HYPO","prediction.score.Inh_4","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L6B","prediction.score.Astro_CTX","prediction.score.Ext_Amy_1","prediction.score.Astro_WM","prediction.score.Oligo_1","prediction.score.Ext_L6","prediction.score.Astro_THAL_lat","prediction.score.Nb_1","prediction.score.LowQ_2","prediction.score.Inh_Vip","prediction.score.Astro_HPC","prediction.score.Ext_ClauPyr","prediction.score.OPC_2","prediction.score.Inh_5","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_Meis2_4","prediction.score.max"
"exper0_location_0",0.0243789377806222,0,0.0572792627328864,0,0.0658121589394382,0.224073066613781,0,0,0.0324648174487383,0,0,0.000411181522529799,0,0,0.00230122270103873,0,0,0.11871702815787,0.0388135191602589,0.00537050700916092,0,0.0480839526444327,0,0.00365550285920599,0,0.0427952297301106,0,0.130791899721779,0.00877534905551349,0,0,0.0522624278141923,0,0,0,0,0,0,0,0.119520635709731,0,0,0,0.0244933003987107,0,0,0,0,0,0.224073066613781
"exper0_location_1",0.0209195649526468,0,0,0,0.883291217949033,0,0,0,0,0,0,0.00600771874544668,0.0417857530030598,0,0,0.0183682677058916,0,0,0,0,0,0.013692075823099,0,0.00205101162602512,0,0,0,0,0.00731026431399767,0,0,0,0,0.00657412588080078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883291217949033
"exper0_location_2",0.0182535473440673,0,0,0,0.109577272332035,0.17318652809131,0,0.0437220001018559,0.0145316021238166,0,0,0.0188560677863878,0,0,0.00319865292477706,0,0,0.211658543369952,0.0467266699174562,0.0140482709312727,0,0.0763427214755528,0,0.00819637802113203,0,0,0,0,0.0130934435840584,0,0,0.04204660593646,0,0.166484643713764,0,0,0,0,0,0,0,0,0,0.0246959295104311,0,0,0,0,0.0153811228356714,0.211658543369952
"exper0_location_3",0.0192903429172842,0,0,0,0.0513625251806381,0.409753883372422,0,0.0134032590818189,0.0145842989594493,0,0.0135198104175012,0.0134883824959254,0,0,0.00390794751644062,0,0,0.149967206147453,0.0172523567987985,0.012277646138856,0,0,0,0.00928391426171722,0,0,0,0,0.0449005962511392,0,0,0.119987803596641,0,0.0523156734995775,0,0,0,0,0,0,0,0,0,0.0313552812835922,0,0,0,0,0.0233490720807464,0.409753883372422
"exper0_location_4",0,0,0,0,0.551158808733574,0,0,0,0,0,0.0492783715413619,0,0,0,0,0,0.052270941359616,0,0,0.00986271109359385,0,0.223446162853507,0,0.0526258329069874,0,0,0,0,0.0471569196965937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142002518147659,0.551158808733574
"exper0_location_5",0.0149325697264065,0,0,0,0.800188663640314,0,0,0,0,0,0.00826323720688349,0.00493141212800783,0,0,0,0,0.0130808703191564,0,0,0,0,0.0680462291312588,0,0.0772467762917127,0,0,0,0,0.0133102415562608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800188663640314
"exper0_location_6",0.0203043935450372,0,0,0,0.341622662774676,0,0,0,0,0,0.0344686630381387,0,0,0,0,0,0.124208742471758,0,0,0.0150598743878818,0,0.33214499892366,0,0.0869606760914658,0,0,0,0,0.0452299887673824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341622662774676
"exper0_location_7",0.00583886010455158,0,0,0.0910406790915085,0.18991412560332,0,0,0,0.00500424423781538,0,0.0870131431194741,0.020570923196681,0,0,0.0100668986199616,0,0,0,0.127903102129215,0.0320240329783817,0,0.251151772759855,0,0.0561494938601687,0,0,0,0,0.123322724299068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251151772759855
"exper0_location_8",0.0175079119114017,0,0,0,0.89770708731459,0,0,0,0,0,0,0,0.0316229118780462,0,0,0,0.00786141383704079,0,0,0.0067369906387682,0,0,0,0,0,0,0,0,0.01781389084339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207497935767626,0,0,0,0,0.89770708731459
"exper0_location_9",0.0125608399399056,0,0.0379995736983471,0.0239438825028929,0.0507898187016126,0.342329172190491,0,0,0.00979662928375251,0,0.0296751774520853,0.000311658616728856,0,0,0.00372502197849299,0,0,0.0197257747289606,0.0226716835240722,0.00607923703518683,0,0.0618597170732604,0,0.006889437576025,0,0.0690830297343824,0,0.111116319803217,0.0310185997372333,0,0,0.0790009421698212,0,0,0,0,0,0,0,0.0347681366865784,0,0,0,0.0351487772786932,0,0,0,0,0.0115065702882605,0.342329172190491
"exper0_location_10",0,0,0,0,0,0,0,0.0215220126239791,0,0,0.011236819229268,0.0166481441763651,0,0,0,0,0,0.063672451141749,0,0.0186760972429067,0.156993938687811,0,0.0159202205129585,0.0300982444250895,0,0,0,0,0.000469229486710886,0,0,0,0,0.0587725249794145,0,0,0,0,0.526714575769776,0,0,0,0,0,0.0792757417239716,0,0,0,0,0.526714575769776
"exper0_location_11",0,0,0,0,0,0.0554106130034045,0,0,0,0,0,0,0,0,0,0,0,0.0628564162320343,0,0,0,0,0,0.0457235830295203,0,0,0,0,0,0,0,0,0,0.529521985235061,0,0,0,0,0.30648740249998,0,0,0,0,0,0,0,0,0,0,0.529521985235061
"exper0_location_12",0.0223796155780183,0,0,0,0,0.00818003230186237,0,0,0,0,0,0,0,0,0,0,0,0.100381176781894,0,0,0.0272934247434154,0,0.0121475184208644,0.0153483183858613,0,0,0,0,0,0,0,0,0,0.285230354612354,0,0,0,0,0.480580120094228,0,0,0,0,0,0.0431868796736015,0,0,0,0.00527255940790035,0.480580120094228
"exper0_location_13",0,0,0,0,0,0.063637803710159,0,0,0,0,0,0,0,0,0,0,0,0.0426570919768081,0,0,0,0,0.00887014655584425,0.0611067416271509,0,0,0,0,0,0,0,0.0111678061398978,0,0.207316728929394,0,0,0,0,0.581326555092135,0,0,0,0,0,0.0239171259686108,0,0,0,0,0.581326555092135
"exper0_location_14",0,0,0,0,0,0.0404262716897498,0,0,0,0,0,0,0,0,0,0,0,0.0254374515232067,0,0,0,0,0,0.0443017603215186,0,0,0,0,0,0,0,0,0,0.0786745040335354,0,0,0,0,0.693931828842093,0,0,0,0,0,0.117228183589897,0,0,0,0,0.693931828842093
"exper0_location_15",0.0408449422369402,0,0,0,0,0,0,0,0.00307883460473975,0,0,0,0,0,0,0.0699945043899451,0,0.073690150246576,0,0.0512166214033181,0.00307883460473975,0,0,0.153522184131754,0,0,0,0,0.00181406616921728,0,0,0,0,0.0290856269741208,0,0.0228096951474152,0,0,0.376701124080165,0,0,0,0,0,0.164325635517635,0,0,0,0.0098377804934343,0.376701124080165
"exper0_location_16",0,0,0,0,0.0588328294093002,0,0,0,0,0,0,0.00633159188922658,0,0,0,0,0.170663753483828,0,0,0,0,0.274268093250004,0,0.189177130349091,0,0,0,0,0.0301351312823108,0,0,0,0,0,0,0,0,0,0.016141200446882,0,0,0,0,0,0.254450269889357,0,0,0,0,0.274268093250004
"exper0_location_17",0,0,0,0,0,0,0,0,0.007343396822022,0,0,0.00446533040204344,0,0,0,0,0,0.0124611429465265,0,0,0.0230646094366729,0,0,0.0896499661195793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425030167386362,0,0,0,0,0,0.437985386886794,0,0,0,0,0.437985386886794
"exper0_location_18",0,0,0,0,0.16418163154178,0,0,0,0.0121673266647657,0,0.0281900929702544,0.125451324602892,0,0,0,0,0.0234900315644055,0.0410404702957607,0,0.0752365493060838,0.0689011726199109,0.0487547407058695,0,0.189017089553282,0,0,0,0,0.0490461005591367,0,0,0,0,0,0,0,0,0,0.17452346961586,0,0,0,0,0,0,0,0,0,0,0.189017089553282
"exper0_location_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562308548167342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631544689635179,0,0,0,0,0,0.880614676219748,0,0,0,0,0.880614676219748
"exper0_location_20",0,0,0,0,0,0,0,0,0.00898532766183103,0,0.0127368989978567,0.0513137085925685,0,0,0,0,0,0.0273495048999032,0,0.00235395629146525,0.0404161305562565,0.0299582186258698,0,0.231071887398465,0,0,0,0,0.00453103924217,0,0,0,0,0,0,0,0,0,0.428805237375397,0,0,0,0,0,0.162478090358217,0,0,0,0,0.428805237375397
"exper0_location_21",0.0809472749397263,0,0,0,0,0.239987915847732,0,0.0135090651805473,0,0,0,0.0224156106984961,0,0,0,0.030240244586615,0,0.00797574233568159,0,0.0056306428781281,0,0,0.0037093966014452,0.00704088246836757,0,0,0,0,0.00670968597340435,0.0441095565493676,0.0163854427070569,0.103019865587909,0,0,0,0,0,0,0.351315943024351,0,0,0,0,0,0.0670027306211713,0,0,0,0,0.351315943024351
"exper0_location_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602690181935187,0.0103419756522274,0,0,0,0,0,0,0,0,0,0.135877380874353,0,0,0,0,0.735507634888684,0,0,0,0,0,0.112246106765384,0,0,0,0,0.735507634888684
