"","prediction.score.Exc.L5.6.FEZF2.IFNG.AS1","prediction.score.Exc.L3.RORB.OTOGL","prediction.score.Exc.L2.LINC00507.GLRA3","prediction.score.Inh.L2.VIP.SLC6A16","prediction.score.Exc.L5.6.FEZF2.C9orf135.AS1","prediction.score.Inh.L1.6.LAMP5.AARD","prediction.score.Inh.L1.3.SST.FAM20A","prediction.score.Inh.L1.SST.DEFB108B","prediction.score.Exc.L2.3.RORB.CCDC68","prediction.score.Exc.L3.5.RORB.RPRM","prediction.score.Exc.L2.3.RORB.PTPN3","prediction.score.Exc.L5.6.THEMIS.SMYD1","prediction.score.Inh.L3.5.SST.GGTLC3","prediction.score.Exc.L3.5.RORB.LAMA4","prediction.score.Exc.L2.LAMP5.KCNG3","prediction.score.Inh.L5.6.PVALB.MEPE","prediction.score.Exc.L3.LAMP5.CARM1P1","prediction.score.Exc.L3.5.RORB.LINC01202","prediction.score.Oligo.L2.6.OPALIN.MAP6D1","prediction.score.Astro.L1.FGFR3.SERPINI2","prediction.score.Exc.L3.5.RORB.LNX2","prediction.score.Exc.L3.THEMIS.ENPEP","prediction.score.Inh.L3.PVALB.SAMD13","prediction.score.Exc.L5.THEMIS.SLC22A18","prediction.score.Inh.L5.6.SST.ISX","prediction.score.Inh.L5.6.PVALB.GAPDHP60","prediction.score.Exc.L3.5.FEZF2.LINC01107","prediction.score.Oligo.L2.6.OPALIN.FTH1P3","prediction.score.Inh.L1.6.LAMP5.NES","prediction.score.Inh.L3.5.SST.OR5AH1P","prediction.score.Exc.L6.FEZF2.KLK7","prediction.score.Inh.L2.3.SST.NMU","prediction.score.Inh.L5.SST.RPL35AP11","prediction.score.Inh.L5.6.SST.C4orf26","prediction.score.Inh.L1.2.SST.CCNJL","prediction.score.Inh.L5.6.LAMP5.CRABP1","prediction.score.Exc.L6.THEMIS.LINC00343","prediction.score.Inh.L5.6.SST.FBN2","prediction.score.Inh.L5.6.PVALB.ZFPM2.AS1","prediction.score.Inh.L1.3.VIP.HSPB6","prediction.score.Exc.L2.3.RORB.RTKN2","prediction.score.Inh.L3.5.PVALB.ISG20","prediction.score.Inh.L2.5.PVALB.RPH3AL","prediction.score.Inh.L2.5.VIP.SOX11","prediction.score.Inh.L1.PAX6.CHRFAM7A","prediction.score.Inh.L1.LAMP5.BMP2","prediction.score.Exc.L6.FEZF2.FFAR4","prediction.score.Inh.L1.2.VIP.HTR3A","prediction.score.Exc.L6.THEMIS.SLN","prediction.score.Exc.L3.5.FEZF2.ASGR2","prediction.score.Inh.L3.5.VIP.TAC3","prediction.score.Inh.L1.PVALB.SST.ASIC4","prediction.score.Oligo.L3.6.OPALIN.ENPP6","prediction.score.Exc.L5.THEMIS.RGPD6","prediction.score.Exc.L5.FEZF2.RNF144A.AS1","prediction.score.Inh.L1.3.VIP.CBLN1","prediction.score.Inh.L1.5.VIP.LINC01013","prediction.score.Exc.L5.6.FEZF2.FILIP1L","prediction.score.Inh.L1.3.VIP.CHRNA2","prediction.score.Inh.L2.5.PVALB.HHIPL1","prediction.score.Inh.L1.2.VIP.EXPH5","prediction.score.Exc.L5.6.THEMIS.TNFAIP6","prediction.score.Inh.L3.5.VIP.IGDCC3","prediction.score.Inh.L2.PAX6.FREM2","prediction.score.Inh.L5.6.PVALB.FAM150B","prediction.score.Inh.L1.5.VIP.SMOC1","prediction.score.Inh.L6.SST.TH","prediction.score.Inh.L5.PVALB.LRIG3","prediction.score.Exc.L3.5.RORB.TNNT2","prediction.score.Inh.L1.6.LAMP5.CA1","prediction.score.Inh.L1.5.VIP.PHLDB3","prediction.score.Exc.L5.RORB.MED8","prediction.score.Exc.L6.FEZF2.POGK","prediction.score.VLMC.L1.5.PDGFRA.COLEC12","prediction.score.Exc.L5.FEZF2.NREP.AS1","prediction.score.Inh.L5.6.VIP.COL4A3","prediction.score.Inh.L1.2.VIP.WNT4","prediction.score.Exc.L5.6.FEZF2.SH2D1B","prediction.score.Inh.L1.2.VIP.SCML4","prediction.score.Exc.L5.THEMIS.VILL","prediction.score.Exc.L2.LINC00507.ATP7B","prediction.score.Exc.L2.3.LINC00507.DSG3","prediction.score.OPC.L1.6.PDGFRA.COL20A1","prediction.score.Inh.L1.2.SST.PRRT4","prediction.score.Inh.L5.6.PVALB.KCNIP2","prediction.score.Inh.L1.2.SST.CLIC6","prediction.score.Inh.L1.VIP.KLHDC8B","prediction.score.Exc.L5.THEMIS.FGF10","prediction.score.Micro.L1.6.TYROBP.CD74","prediction.score.Inh.L1.6.VIP.SLC7A6OS","prediction.score.Inh.L1.5.VIP.CD27.AS1","prediction.score.Astro.L1.6.FGFR3.PLCG1","prediction.score.Astro.L1.6.FGFR3.AQP1","prediction.score.Exc.L6.THEMIS.SNTG2","prediction.score.Inh.L1.6.PVALB.COL15A1","prediction.score.Exc.L5.FEZF2.PKD2L1","prediction.score.Exc.L5.6.FEZF2.OR1L8","prediction.score.Exc.L5.6.FEZF2.CFTR","prediction.score.Inh.L3.6.VIP.UG0898H09","prediction.score.Inh.L3.5.VIP.HS3ST3A1","prediction.score.Oligo.L3.6.OPALIN.LRP4.AS1","prediction.score.Inh.L5.6.PVALB.SST.CRHR2","prediction.score.Inh.L1.2.PVALB.CDK20","prediction.score.Inh.L3.6.VIP.ZIM2.AS1","prediction.score.Inh.L1.LAMP5.NMBR","prediction.score.Exc.L5.FEZF2.CSN1S1","prediction.score.Inh.L2.PVALB.FRZB","prediction.score.Exc.L5.THEMIS.LINC01116","prediction.score.Inh.L5.6.SST.BEAN1","prediction.score.Inh.L5.6.SST.PIK3CD","prediction.score.Inh.L5.6.SST.PAWR","prediction.score.Inh.L1.PAX6.MIR101.1","prediction.score.Inh.L1.LAMP5.RAB11FIP1","prediction.score.Inh.L2.5.VIP.BSPRY","prediction.score.Exc.L6.FEZF2.PROKR2","prediction.score.Inh.L5.6.SST.KLHL1","prediction.score.Inh.L1.2.VIP.PTGER3","prediction.score.Exc.L5.6.FEZF2.LPO","prediction.score.Inh.L1.LAMP5.PVRL2","prediction.score.Endo.L2.5.NOSTRIN.SRGN","prediction.score.Inh.L1.3.VIP.FNDC1","prediction.score.Inh.L3.6.PAX6.LINC01497","prediction.score.Inh.L3.5.SST.CDH3","prediction.score.Inh.L1.6.SST.NPY","prediction.score.Inh.L5.6.SST.DNAJC14","prediction.score.Oligo.L5.6.OPALIN.LDLRAP1","prediction.score.Inh.L1.SST.P4HA3","prediction.score.Exc.L6.FEZF2.PDYN","prediction.score.max"
"0",0,0.0291383402799992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797251247852437,0,0,0,0,0,0,0.846275697183967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987083321396714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250803791485095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846275697183967
"1",0,0,0.00679368486565413,0.172421484120215,0,0,0,0,0,0.0151026387321489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342890010127712,0.00345767761087964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139799207512996,0,0,0,0.0128172073325917,0,0,0.586854722422033,0,0,0,0,0,0.0159740655133194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124903108773913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586854722422033
"2",0,0,0.298410974815943,0,0,0,0,0,0,0.14910094636559,0,0,0,0,0,0,0.118362415730077,0,0,0,0.0295226759374172,0.0556920989842497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273238501570557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06683723411475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883515248141576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298410974815943
"3",0,0,0,0,0,0.440660324375964,0.012058808435098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196540060889431,0,0,0,0,0,0.219428081392679,0,0,0,0,0,0,0.0434454922511483,0,0,0,0.00886387555966307,0,0.0359956627089567,0.0665281155091586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153574818028402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109800441382279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266841699056954,0,0,0.00152354058757515,0,0,0,0,0,0,0.440660324375964
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223812793782101,0,0,0,0,0,0,0,0.0308696653353681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018074721906751,0.219472489217532,0,0,0,0,0,0,0,0.709201844162139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709201844162139
"5",0,0,0,0,0,0,0.00820123098528132,0,0,0,0,0,0.0253274939444668,0,0,0,0,0,0,0,0,0,0,0,0.0782376400646268,0,0,0,0,0,0,0,0.0180907660643004,0,0,0,0,0,0,0.411776258227095,0,0,0,0.0123209600408929,0,0,0,0,0,0,0.0336768188793088,0,0,0,0,0.207648689752518,0,0,0.0179616866220681,0,0,0,0.021668894162578,0,0,0.108073590223173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216692217562871,0,0.0338017429965014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154500628090181,0,0,0,0,0,0,0.411776258227095
"6",0,0.173512758601702,0.0396224489817986,0,0.28408518777362,0,0,0,0,0.112594513889494,0,0,0,0,0,0,0,0.0276959632121768,0,0,0.0577768024148387,0.010869244565864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205783013073934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364286014663943,0,0,0,0.04195008874556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00968137727461764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28408518777362
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549325331998961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113960999184752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221581031851998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115132636964289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549325331998961
"8",0,0,0.0817163491474229,0,0,0,0.0115771695052121,0,0,0,0,0,0,0,0,0.0199046581516062,0.0173944811795779,0,0,0,0.0195161332612702,0.010133020538126,0.171076162029501,0,0,0,0,0,0,0,0,0.00148925665499588,0,0,0,0,0,0,0.0943163521798669,0,0,0.0302083506988298,0.386826103456628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872647980850253,0,0,0,0,0.00839276615541371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275373727923011,0,0,0,0.0326470261642228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386826103456628
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127051035943719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36311638721801,0.509832576838271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509832576838271
