,0,1,2,3,4
0,0.045356616,0.46365982,0.27546862,0.116282396,0.099232495
1,0.04272778,0.6006261,0.22508436,0.05888862,0.07267315
2,0.05972313,0.6360124,0.20557839,0.029930357,0.06875577
3,0.06495976,0.67416257,0.06807286,0.066494726,0.12631
4,0.1386858,0.64617115,0.013816601,0.032541484,0.16878492
5,0.12340237,0.60030156,0.08906075,0.044853013,0.14238231
6,0.072724625,0.6406303,6.5461454e-06,0.07383278,0.21280576
7,0.046394296,0.62130415,0.06257456,0.0939481,0.17577897
8,0.03748302,0.55406845,0.028523676,0.0736343,0.3062906
9,0.07055102,0.5061391,1.9071713e-06,0.041483644,0.3818243
10,0.024739422,0.6879216,0.034650024,0.042197183,0.21049176
11,0.011980343,0.70098436,0.038811676,0.031985562,0.2162381
12,1.9269023e-06,0.6489198,0.0723832,0.044289593,0.2344055
13,3.335908e-08,0.6900896,0.09020747,0.047726396,0.17197654
14,0.017099598,0.7297651,0.048563927,0.045489386,0.159082
15,0.016066322,0.71387815,0.033692926,0.03171435,0.20464832
16,3.6406054e-09,0.68984324,0.13504994,0.048484992,0.12662184
17,0.021689925,0.6810296,0.00053089473,0.059836056,0.23691349
18,0.009611128,0.6419942,0.0057102744,0.06708799,0.27559638
19,0.005565764,0.5219718,0.009204981,0.14987786,0.31337965
20,0.018912235,0.6170116,1.41494875e-05,0.17125343,0.1928085
21,0.043258402,0.39479038,2.4746086e-07,0.28884152,0.27310944
22,0.059549864,0.44111943,0.025813384,0.30549413,0.1680232
23,0.08077085,0.25244176,1.3340914e-06,0.4758657,0.19092032
24,0.11716144,0.28051278,0.08936371,0.41556326,0.0973988
25,0.12393194,0.28929657,0.10341774,0.31145388,0.17189996
26,0.15548268,0.03861239,0.23620738,0.45757216,0.112125345
27,0.1903022,7.338698e-06,0.41438258,0.2713244,0.12398351
28,0.18652675,0.12229011,0.18734549,0.29552606,0.20831156
29,0.27641156,0.064399,0.15486144,0.20818345,0.29614452
30,0.30195746,1.3138788e-06,0.12336365,0.15611248,0.4185651
31,0.30240336,0.03114535,0.18452598,0.10761742,0.37430784
32,0.31253377,1.1337836e-06,0.21616577,0.19241449,0.2788849
33,0.36399442,7.25711e-07,0.20452942,0.19152988,0.23994553
34,0.44308946,0.03762614,0.22948858,0.17590569,0.11389016
35,0.42966378,1.0762886e-06,0.2781268,0.15300728,0.13920113
36,0.37403592,2.9080804e-06,0.31480154,0.22878692,0.082372725
37,0.31485197,5.787626e-06,0.30089104,0.25883496,0.12541623
38,0.4155351,4.9264617e-07,0.22470546,0.2411816,0.118577324
39,0.2891189,7.3316533e-06,0.33250618,0.32610017,0.052267443
40,0.020909764,0.49526486,0.2648212,0.09891698,0.12008719
41,0.05462847,0.6242324,0.217625,0.0770743,0.026439793
42,0.0482402,0.652649,0.19198461,0.06801413,0.039112054
43,0.054195415,0.64150184,0.16907243,0.041666646,0.09356369
44,0.06339769,0.67331064,0.09499965,0.04758657,0.12070547
45,0.07193341,0.6483792,0.05901139,0.028603097,0.19207293
46,0.08454104,0.60194963,0.10336716,0.06552451,0.1446177
47,0.063186385,0.67637223,0.101498365,0.0333846,0.1255584
48,0.029409532,0.66391253,0.07703478,0.044051606,0.18559149
49,0.028145846,0.63770974,0.10758803,0.04265168,0.18390465
50,0.03165663,0.6776344,0.06024829,0.034367006,0.19609362
51,3.0762617e-06,0.66406083,0.10310653,0.032040123,0.20078948
