"","cell_ID","pancreatic acinar cell","type B pancreatic cell","pancreatic D cell","pancreatic stellate cell","pancreatic ductal cell","pancreatic A cell","pancreatic epsilon cell","pancreatic PP cell","endothelial cell","mast cell"
"1","0",0.240774985803956,0.114452923169832,0,0,0.224374215632734,0.420397875393478,0,0,0,0
"2","1",0.206363490412769,0,0,0,0.542448441573213,0.251188068014018,0,0,0,0
"3","2",0,0,0,0,0,0.782301951572981,0,0.217698048427019,0,0
"4","3",0,0.461308763510302,0,0,0,0.538691236489698,0,0,0,0
"5","4",0,0,0.277950240989133,0,0.259654246845648,0.46239551216522,0,0,0,0
"6","5",0.522652877156171,0.477347122843829,0,0,0,0,0,0,0,0
"7","6",0.464208456982212,0,0,0,0.461053851143341,0.0747376918744467,0,0,0,0
"8","7",0.211949040629678,0,0.49324338580692,0,0,0.294807573563402,0,0,0,0
"9","8",0,0.453035488867313,0,0,0,0.546964511132688,0,0,0,0
"10","9",0.245002066073622,0.119660531733795,0.452228701529928,0,0,0.183108700662655,0,0,0,0
"11","10",0.309469714702805,0.107931311524263,0.177287013646897,0,0.405311960126035,0,0,0,0,0
"12","11",0,0,0,0,0,0.772039811514385,0,0.227960188485615,0,0
"13","12",0,0,0.752031270184004,0,0,0.247968729815996,0,0,0,0
"14","13",0,0,0.348161162743173,0,0.1873824223642,0.352551270954229,0,0.111905143938399,0,0
"15","14",0,0.208828453055706,0,0,0,0.642063938900089,0,0.149107608044206,0,0
"16","15",0,0,0,0,0.393593638447576,0.372726169747535,0,0,0.233680191804889,0
"17","16",0,0.153596137896908,0.223418247126417,0,0,0.622985614976675,0,0,0,0
"18","17",0,0,0,0,0.589669968349766,0.410330031650234,0,0,0,0
"19","18",0.337283867804151,0.177172213386578,0,0,0.485543918809271,0,0,0,0,0
"20","19",0.146344267054242,0,0,0,0,0.590904757220642,0,0.262750975725116,0,0
"21","20",0,0,0,0,0.857097913161159,0,0,0.142902086838841,0,0
"22","21",0,0,0.408695601164722,0,0,0.591304398835278,0,0,0,0
"23","22",0,0.374148163183518,0,0,0.319698518538752,0,0,0,0.30615331827773,0
"24","23",0.113008063422982,0.176487065869465,0,0,0,0.52064803951311,0,0.189856831194443,0,0
"25","24",0.122422231993104,0,0,0,0.573214263429411,0.304363504577485,0,0,0,0
"26","25",0,0,0,0,0,1,0,0,0,0
"27","26",0,0.39449363690597,0,0,0,0.386634954319178,0,0,0.218871408774852,0
"28","27",0,0,0.290938133435706,0,0,0.709061866564294,0,0,0,0
"29","28",0,0.217733943097097,0.313224870551421,0,0.469041186351483,0,0,0,0,0
"30","29",0,0.321271862377057,0,0.314234557894329,0,0,0,0.364493579728614,0,0
"31","30",0.12457453207749,0.270626701057848,0,0,0.477442361970165,0.127356404894497,0,0,0,0
"32","31",0.353483575416886,0.275898277897624,0,0,0.370618146685489,0,0,0,0,0
"33","32",0.222833795771678,0,0,0,0.630910369422749,0.146255834805572,0,0,0,0
"34","33",0,0,0.883122223996451,0,0,0.116877776003549,0,0,0,0
"35","34",0,0,0,0,0.574946876176406,0.425053123823594,0,0,0,0
"36","35",0,0.482453504906773,0,0,0,0.517546495093227,0,0,0,0
"37","36",0.0987037198790461,0,0.490683467451428,0,0,0.145142527939147,0,0.265470284730379,0,0
"38","37",0,0,0,0,0,0.739846701987994,0,0.260153298012006,0,0
"39","38",0,0.15869407178694,0,0,0,0.84130592821306,0,0,0,0
"40","39",0.271866099753173,0,0,0,0.233723928563797,0.49440997168303,0,0,0,0
"41","40",0,0.286831614881143,0.713168385118857,0,0,0,0,0,0,0
"42","41",0,0,0,0,0.467991121320988,0.243861328695344,0,0.288147549983668,0,0
"43","42",0,0,0,0,0.660099698153064,0.339900301846936,0,0,0,0
"44","43",0.292746403806529,0.294555275904694,0,0,0,0.412698320288777,0,0,0,0
"45","44",0.33657153635779,0,0,0,0.66342846364221,0,0,0,0,0
"46","45",0,0,0.298637772204555,0,0.113411961794131,0.587950266001314,0,0,0,0
"47","46",0.410823319281011,0,0,0,0.445978753690476,0.143197927028513,0,0,0,0
"48","47",0.110810144341368,0.388129171645475,0,0,0,0.501060684013157,0,0,0,0
"49","48",0.16646077635129,0.547612431792285,0,0,0.285926791856424,0,0,0,0,0
"50","49",0,0,0.397985304727517,0,0.418194949160497,0.183819746111986,0,0,0,0
"51","50",0,0.50416988343033,0,0,0,0.49583011656967,0,0,0,0
"52","51",0,0,0,0,0.247201731085104,0.752798268914895,0,0,0,0
"53","52",0,0,0,0,0.792115348920792,0,0,0,0,0.207884651079208
"54","53",0,0,0,0,0.60941504754077,0.39058495245923,0,0,0,0
"55","54",0.073187581424159,0,0,0,0.647716733806591,0.27909568476925,0,0,0,0
"56","55",0,0,0,0,0.498598676788718,0.106563370425007,0,0,0.394837952786275,0
"57","56",0,0,0,0,0,1,0,0,0,0
"58","57",0,0,0,0,0.522279063720901,0.477720936279099,0,0,0,0
"59","58",0,0,0,0,0,1,0,0,0,0
"60","59",0,0.264116833366875,0,0,0,0.735883166633125,0,0,0,0
"61","60",0,0,1,0,0,0,0,0,0,0
"62","61",0.109957130989811,0,0,0.243990127911017,0.364476899786341,0.114588890295528,0,0.166986951017304,0,0
"63","62",0,0.203730399151629,0,0,0.246355242797051,0.200026474799864,0,0.349887883251456,0,0
"64","63",0,0,0.254344296195305,0,0.299885313284578,0,0,0.445770390520117,0,0
"65","64",0,0.260735624877647,0,0,0.33943426220472,0.399830112917633,0,0,0,0
"66","65",0,0.474582292482943,0,0,0.275070974957174,0.250346732559883,0,0,0,0
"67","66",0.420975667061938,0,0,0,0.455566547208754,0.123457785729308,0,0,0,0
"68","67",0,0,0,0,0,1,0,0,0,0
"69","68",0,0,0.274544355439482,0,0.725455644560518,0,0,0,0,0
"70","69",0,0,0.163671944822205,0,0.342023759741713,0.494304295436083,0,0,0,0
