"","cell_ID","Ext_L23","Oligo_2","Astro_THAL_med","Inh_Sst","Inh_6","Inh_Meis2_3","Micro","Ext_L5_2","Ext_Pir","Astro_AMY","Inh_2","Inh_1","Inh_Pvalb","Inh_Lamp5","Ext_L25","Nb_2","Ext_Thal_1","Ext_L56","Ext_Unk_3","Inh_3","Ext_Amy_2","Ext_Thal_2","Ext_L5_1","Unk_1","OPC_1","Astro_AMY_CTX","Ext_Hpc_DG1","Astro_HYPO","Inh_4","Inh_Meis2_1","Ext_Hpc_DG2","Inh_Meis2_2","Ext_Hpc_CA1","Ext_L6B","Astro_CTX","Ext_Amy_1","Astro_WM","Oligo_1","Ext_L6","Astro_THAL_lat","Nb_1","LowQ_2","Inh_Vip","Astro_HPC","Ext_ClauPyr","OPC_2","Inh_5","Ext_Hpc_CA3","Inh_Meis2_4"
"1","exper0_location_0",0,0,0.0067834794757409,0,0.0951316021402697,0.0497023231942625,0,0.0172119613753778,0,0,0,0,0,0,0.151159964904091,0,0,0,0.106463613910201,0,0,0,0,0,0,0,0,0,0,0.0283854778116511,0,0,0,0.169434969221139,0,0,0,0,0.0357505532835754,0.112575121505173,0,0,0,0.0334141751119442,0,0,0,0.193986758066574,0
"2","exper0_location_1",0,0,0,0,0.162758526243666,0.0272869831088638,0,0.0736222662835169,0,0,0,0,0,0,0.101022073888121,0.073320422188479,0,0,0.123573101849822,0,0,0,0,0,0,0.037531612059912,0,0.053902533769774,0,0.133232504907967,0,0,0,0,0,0,0,0,0.0672495188431605,0.0342915654566549,0,0,0,0,0.0598445548798712,0,0,0.0523643365201921,0
"3","exper0_location_2",0,0,0.0308119694680207,0,0.0921711396932563,0.0593781211374444,0,0,0.0493977257548429,0,0,0,0,0,0.0226283972679039,0,0,0,0.121819117457382,0,0,0.00800946701147407,0,0,0,0,0,0,0,0.0635885992777687,0,0,0,0.361817610983874,0,0,0,0,0,0.0667884298696668,0,0,0,0.0325028505009887,0.0605929166341444,0,0,0.030493654943233,0
"4","exper0_location_3",0,0,0,0,0.0645991826607017,0.0811474165487286,0,0.0935487228592882,0,0,0,0.0672936322991226,0,0,0,0,0,0,0,0,0,0.0377963104996618,0,0,0,0.0540747076280876,0,0,0,0.0534188793292677,0,0,0,0.152778538636328,0,0,0,0,0,0.0898095234524401,0,0,0,0,0.120633754925102,0,0.0444680842808466,0.064430711393976,0.0760005354864496
"5","exper0_location_4",0,0,0,0,0.139981899115007,0,0,0.0613992046653925,0,0,0,0.054740954366998,0,0,0,0,0.211387276247965,0,0,0,0,-4.83906358990406e-20,0.00929927355824551,0.0681200024962891,0,0.0378349960391334,0,0,0,0,0,0,0.100167890080041,0,0,0.122711376512742,0.0621129235147638,0,0,0,0,0,0,0,0,0,0,0,0.132244203403422
"6","exper0_location_5",0,0,0,0,0.141272823064978,0,0,0.0995833725694433,0,0.0745081004606674,0,0,0,0,0,0,0.0620033030953842,0,0,0,0.0315343071106669,0.0591854195221419,0,0,0,0,0.0627610122991974,0,0,0,0,0,0,0,0,0.0972107919607341,0.0208746267158559,0,0,0,0,0,0,0,0.200110496815706,0,0.057072116098179,0,0.0938836302870467
"7","exper0_location_6",0.0352939203072943,0,0,0,0.104057557227681,0,0,0.0408648141693922,0,0.0214294906279275,0,0,0,0.0314635014243695,0.0257603408115873,0,0.0782876736231185,0,0,0,0,0.189787991176805,0,0,0,0.0318421570005274,0,0,0,0,0,0,0.0699854358514892,0,0,0.0655547021946751,0,0,0.12535042986841,0,0,0,0,0,0.0851857449993261,0,0,0,0.0951362407173971
"8","exper0_location_7",0.0582675811666305,0,0.0682892632933156,0.0738921771218495,0.0513493508764956,0,0,0.034633963270735,0,0,0,0,0,0,0,0.035174102379161,0,0,0,0,0,0.279344806929209,0,0,0,0.0519476531762865,0,0,0.0882638057098641,0,0.0439178568371902,0,0.0334485061189599,0,0,0,0,0,0,0,0,0,0,0,0.181470933120303,0,0,0,0
"9","exper0_location_8",0,0,0.0685786558540849,0.0489307907255985,0.167168176530183,0,0,0.101188815213161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288035433684667,0,0,0,0.0225314115942648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296651189943847,0,0,0.379948462489722,0,0.153185025230133,0,0
"10","exper0_location_9",0,0,0.108432900924489,0.119303249815233,0.0424053558786768,0.127951664476309,0,0.110895629470737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136380638937985,0,0,0,0.0694936734477326,0,0,0,0,0,0,0,0,0,0,0,0,0.00491629663671611,0,0,0,0,0,0.18597155152272,0,0.094249038889401,0,0
"11","exper0_location_10",0,0,0.030803360690158,0,0.0425248531648243,0.0524803624560742,0,0.0128141908958664,0,0,0,0.10498798641356,0,0,0,0.0257037101457677,0,0,0,0,0,0.0191976123865058,0.167270651986918,0,0,0.0475123574767325,0,0,0,0.0335375693648097,0,0,0,0.21215016430419,0,0.0472873152938744,0,0,0,0,0,0.0368973189637041,0,0,0.103353951304549,0,0.0634785951524659,0,0
"12","exper0_location_11",0,0,0,0,0,0.214880113785313,0,0.0466805060851894,0,0,0,0,0,0,0,0,0.027500844349746,0,0,0,0,0.0470167268218604,0,0,0,0,0,0,0,0,0,0,0,0.43369828117318,0,0,0.0365083488331657,0,0,0,0,0,0,0,0.153180566420308,0,0.0405346125312377,0,0
"13","exper0_location_12",0,0,0,0,0.077297308317358,0.139432587603354,0,0.0701751738556847,0,0,0,0,0,0,0,0.0569619100841994,0,0,0,0,0,0.010499762452986,0,0,0,0,0.0592369212156755,0,0,0,0,0,0,0.39390331972319,0,0.0515132945417119,0,0,0,0,0,0.0267886887954647,0,0,0.114191033410376,0,0,0,0
"14","exper0_location_13",0,0,0,0,0.0256509689059707,0.14141009977378,0,0.183004465783542,0,0,0,0,0,0,0,0,0.0315467865114442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494850009777852,0.0599422287796133,0,0.30939998815713,0,0,0,0,0,0,0,0,0,0,0.141109495583598,0,0.0584509655271369,0,0
"15","exper0_location_14",0,0,0,0,0.0413356713877176,0.278392342129587,0,0.0778015651785536,0.0082814594915249,0,0,0,0,0,0,0,0.0305266001267907,0,0,0,0,0,0.00866727010507382,0,0,0,0,0,0,0,0,0,0,0.271147488945302,0,0,0.0269720655286644,0,0,0,0,0,0,0,0.256875537106786,0,0,0,0
"16","exper0_location_15",0,0,0,0,0.0294938474227051,0.138114662573008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173447087740131,0,0,0,0,0,0,0.0749534211791308,0,0.119072772081968,0,0,0.24350155465121,0,0,0,0,0.0123743112350495,0,0,0,0,0,0.209042343116798,0,0,0,0
